id,text,
1,Can I order a new card to China?,
2,"I needed to send my friends some money urgently.  I tried multiple times to transfer the money this morning, but the transfer keeps failing.  Can you tell me why the transfer is getting rejected?",
3,Freeze my account it's been hacked.,
4,How much do I have to pay to accept an international transfer?,
5,Can I open an account for my children?,
6,Will there be a charge for exchanging foreign currency?,
7,How can I activate the new card i got?,
8,I couldnt transfer money from my account.,
9,I can't get into the app with the passcode.,
10,I've already tried 5 times to complete a transfer that's just standard. What's the deal? Is your system down at this time?,
11,Is it possible for me to change my PIN number?,
12,Would I need to pay extra for currency exchanges?,
13,Where can I find instructions to change my PIN?,
14,I messed up a transfer and need to reverse it.,
15,"When my card expires soon, how fast is the replacement card sent and what are the costs?",
16,"If I have already completed a cash withdrawal at an ATM, is it normal for it to show as a pending transaction on the app?",
17,What am I going to need in order to activate my card?,
18,Where is the closest Mastercard ATM?,
19,I forgot the code I need to get into the app.,
20,Why can't I transfer money to a beneficiary,
21,I just realised I made the wrong payment yesterday. Can you please change it to the right account? It's my rent payment and really really needs to be in the right account by tomorrow,
22,Do I have to change my PIN at a bank?,
23,Are there any discounts in exchanging currencies frequently?,
24,My transfer to another account was not allowed. Why is that?,
25,How old do I need to be to open an account?,
26,Are there restrictions to transfers to certain accounts?,
27,"My card was lost on vacation, I don't know where it is. Can you help me take care of this immediately?",
28,Should I order a new card before I freeze my original one?,
29,I need help right now. I realize I sent my payment to the wrong account number after making a typo. Please cancel the transfer now since I can't do it from the app.,
30,What does it mean when it says I have a payment pending?,
31,I could not get my transfer to happen correctly and was wondering why?,
32,I have been trying to exchange this for crypto but the app won't work could you please help me?,
33,how to get a new card in china,
34,Is there an additional charge to exchange currencies?,
35,I need to cancel my recent transfer. I made a mistake. Please help quickly before the transfer goes through.,
36,At what age can a person open an account?,
37,I don't think my transfer wen through. Why?,
38,Can I withdraw from any ATM?,
39,How old do my kids need to be to use your service?,
40,How can I start using my card?,
41,I need you to cancel a transfer that I made.  It is the wrong account number and the app won't let me stop the transaction.  Please stop it!,
42,My contanctless has stopped working,
43,I would like to better understand why my pass-code is not working.,
44,A fee shouldn't apply to me if my card was stolen.,
45,My bags were stolen. I need a new card but need to cancel the stolen one.,
46,It is extremely important that I cancel the transfer I made yesterday and put the money into a different account.  Is this possible?,
47,What is needed to activate my card?,
48,I have a withdrawal waiting to go through.,
49,The activation process for my card isn't working.,
50,At which ATMs can I use this card?,
51,I would like to activate my card.,
52,If my card is about to expire how long would it take to receive a new one and how much would that cost me?,
53,"Hi there, earlier today I tried to take money out of an ATM machine, and something wasn't working.  I didn't actually receive the money, but I just checked and it says that the transaction is still pending.  Can you tell me what's going on here? Am I still being charged for the withdrawal even though I didn't end up getting any money?",
54,What kind of charges should I expect to exchange currencies?,
55,Why is my beneficiary being denies?,
56,Somehow I am missing my card.  What should I do?,
57,"If I have this card, which ATMs can I go to?",
58,I am travelling for two more weeks but really need to change my PIN asap. What do I do?,
59,Show me how to activate my card,
60,How long does it take to verify a cash withdraw?,
61,Why has my payment not transferred?,
62,"ATMs, which ones will accept this card?",
63,I am on vacation in Spain and think someone saw my pin when… Can I change it at a local ATM?,
64,Where can I activate my card?,
65,"If I exchange currencies on a regular basis, is there a discount?",
66,The cash I deposited using the ATM is still pending,
67,How much do I have to pay for the exchange fee?,
68,Can I have a discount if I exchange currency often?,
69,I want to activate the card.,
70,I have forgotten my password.,
71,I sees some suspicious spending on my credit card that I don't recall I had made. What should I do?,
72,My card is about to expire. What do I need to do to keep using my card?,
73,My card is missing!  Help!,
74,Please assist me in activating the card.,
75,My card has been stolen what do I do?,
76,If I need to exchange currency is there an extra fee?,
77,Is there a charge for exchanging foreign currencies?,
78,Why hasn't my payment shown up yet?,
79,Can I change my pin at an atm?,
80,My last ATM request did not go through due to a declined card. Please cancel the request on my account.,
81,please help my transfer go through,
82,I've lost my card. What can I do about that?,
83,I need to exchange foreign currency will i be charged?,
84,Please help me!  A payment I made had an error on the account number and I can't cancel on my side.  Can you cancel it?,
85,Where can I get money from my card?,
86,"Since my card is about to expire, what do I do to get a new one?",
87,I need a new passcode.,
88,I would like to activate my card what do I need to do?,
89,What is the minimum age?,
90,Why is my purchase showing as pending?,
91,Where is an ATM?,
92,What is the cause of the delay in applying my card payment to my account?,
93,I need to know where I can withdraw money.,
94,Will there be any extra fees if I exchange currencies?,
95,How do I freeze my account?,
96,I need a new login code,
97,"The transaction for the cash I pulled out of the ATM earlier is pending in the app, but how if I already have the cash?",
98,Why didn't my payment process,
99,Why do I have a pending cash withdrawal?,
100,My purchase from this morning still is pending.,
101,Do you charge a fee on currency exchange?,
102,What is the process for activating my card and using it?,
103,How can I make my contactless work for the metro?,
104,I need help fixing my contactless. It's not working anywhere I go today.,
105,I made a transaction but did it to the wrong account.,
106,"I tempted to get some money out of the machine earlier and it did not work.Looking now, the transaction actually shows to still be in progress. I would certainly appreciate someone look into this and let me know what's going on. I definitely do not want to be charged for money I never received.",
107,"i dont recognise some of these transactions, i think someone has my card details",
108,My daughter needs an acount.,
109,What is the current exchange fee?,
110,From which age can my kids use your service?,
111,How can I change my PIN even though I'm out of the country in Austria at the moment?,
112,What do I do if I think my card was improperly used?,
113,Can you tell me the status of my new card?,
114,I would like to be assisted with the activation of my card.,
115,What is the minimum age limit?,
116,Help please!  My rent payment is coming out tomorrow and I made a payment mistake yesterday! Can you put in in the correct account?,
117,Can I change my PIN without being physically present?,
118,"This is URGENT, I typed the wrong payment information for a payment I needed to make and have clicked send, I need to reverse the transaction immediately.",
119,Some idiot stole my card.,
120,Is my pending cash withdrawal processed?,
121,How do I get a new card sent to China?,
122,"i need help, i lost my card",
123,"I want to activate my card, how do I do it?",
124,What do I do if I think someone managed to get my card information?,
125,"I was double charged, and the second charge is showing as ""pending"". How long will it be before I get my money back once the second charge has been refunded?",
126,How do I change the PIN?,
127,Are there any ATM machines near me?,
128,What is the process when my card is due to expire?,
129,My card is about to expired what will happen?,
130,I'm not quite understanding why my cash withdrawal is showing as pending.,
131,Will this card work at any ATM?,
132,How long does it take to activate my card?,
133,"Hello. I looked at my account and see that a transaction I tried to do is pending, but I did not complete that transaction. When I was at the ATM, the machine declined my card. Can you make sure that transaction does not go through because I definitely did not receive the money.",
134,There is a payment that I made that hasn't gone through yet.,
135,Why does it still charge me even though I was unable to withdraw money from the ATM?,
136,"The transfer keeps rejected, I tried to transfer some money to friends but it keeps getting rejected for some reason, Would you please check the issue?",
137,Where do I go to activate my card?,
138,i cannot seem to activate card,
139,How old does one have to be to have an account with the bank?,
140,I believe that my card has been stolen!,
141,"My card is expiring shortly.  How much will it cost for a replacement, and how soon can I get it?",
142,Where can I order a card when I am in China?,
143,I just got an email in confirming my purchase with my card. I login to the mobile app on the card and found out there are several purchase were made without me aware of it. Evidently someone had stole my card information and made these fraudulent purchase. I need the transaction to be reverse and have my card suspended.,
144,Can I open an account for my offspring?,
145,I lost my password,
146,How long with my cash withdrawal stay pending for?,
147,My card is about to expire. Do I have to go to a branch to order a new card?,
148,What does it mean when it says that I have a payment that is pending?,
149,I made a mistake when I did a transfer so now what can I do to fix that?,
150,My transfer to a beneficiary was rejected.,
151,How do I stop fraud to my card?,
152,Why does my transfer keep generating an error message?,
153,"I need to cancel my recent transfer immediately, I made a mistake there, please help quickly before it goes through",
154,Why did the bank reject my transfer?,
155,My account transfer was not cleared.,
156,Why couldn't I transfer funds to my beneficiary?,
157,"Hey i need help urgently. I just realised I sent my payment to the wrong account number, there is a typo! Please cancel it immediately, I can't do it anymore from the app",
158,How do I troubleshoot my contactless?,
159,My transaction needs to be canceled.,
160,"Someone stole my card. I need to report it stolen. I made a police report already, but how do I report it with you?",
161,I tried to make a transfer but it failed. will you tell me why?,
162,Help me change my PIN.,
163,Which locations can I withdraw money from?,
164,How can I activate my card>,
165,I couldn't transfer to an account.,
166,"I withdrew some cash, when is it going to show?",
167,I tried to do a transfer and it hasn't worked!,
168,Is there a fee to exchange foreign money?,
169,How long does it take to authorise a payment?,
170,Someone might be using my card that is not me.,
171,how to recover my passcode,
172,I have a payment that is still pending,
173,I have a card payment which shows as pending,
174,Can I have a new card shipped to China?,
175,I would like to change the the PIN on my card.,
176,What age do my kids need to be to use your service?,
177,I accidentally made a transaction to the wrong account.,
178,I want to choose a different PIN.,
179,Card payment is showing as pending,
180,Where are the Mastercard ATMs?,
181,"My card payment is showing up as pending for a very long time, what's going on with that, it should be going through at some point?",
182,Why is there a pending transaction on my card?,
183,What does pending payment mean?,
184,I have a pending payment on my card.  Why?,
185,How do I activate my card to start using it?,
186,I think I lost my card . I dont know how long it has been missing. Can you see if maybe someone else has been using it?,
187,When will a cash withdrawal show up?,
188,I need to cancel a transaction immediately.,
189,I would like to have assistance with activating my card.,
190,"Hi , I just came to know I made the wrong transaction  yesterday. Would  you please make it correct?I need it by tomorrow.",
191,I would like to change my card PIN.,
192,I can't find my code,
193,"I put in a payment a while ago and it has still not cleared and is showing up as ""pending"", how long does it take to clear?",
194,I transferred the wrong amount and would like to cancel the transaction.,
195,I couldn't make a transfer to a beneficiary!,
196,At what age can I open an account?,
197,The purchase I made is still pending.,
198,Do all ATMs accept this card?,
199,Why is my cash withdrawal pending?,
200,How can I fix my card if the contactless function didn't work this morning?,
201,What do I need to do to activate my card?,
202,A transfer to an account was not allowed,
203,"Soon my card will expire, how do I get a new one?",
204,Why do my transfers keep failing?,
205,I have transactions that I don't recognize - I think someone is using my card.,
206,My transfer is failing when I try to do it.,
207,How do i activate my card,
208,What kind of ATMs would this card be accepted at?,
209,I entered a typo when I was transferring money and now I've sent it to an incorrect account.  This is so bad!  I need it cancelled now.,
210,Why am I not allowed to add a certain beneficiary?,
211,How can I change my PIN without going to the bank?,
212,Help me cancel my transaction,
213,What happens after my card expires?,
214,How long does a payment show as pending before i should worry about it?,
215,My transaction is on the wrong account.,
216,Is there a way to find an ATM around me?,
217,How do i cancel my transaction?,
218,How old do you need to be to open an account?,
219,Does it cost extra to exchange foreign currencies?,
220,How do I report fraud on my card?,
221,There should be a cash withdrawal that I haven't seen yet.,
222,Is there any way to cancel a transfer?,
223,I need to change my PIN. Can I do that at a cash machine?,
224,Why haven't I gotten my payment yet?,
225,Which ATM's accept my card?,
226,"I was wondering why my payment hasn't gone through yet, its been a while.",
227,What does my daughter need to open an account?,
228,Do you know the closest ATM?,
229,Can I order a new card?  Mine is about to expire.,
230,What do I do if my card is about to expire?,
231,"I can't remember my app code, can you reset it?",
232,What can I do if I lost my card?,
233,How do I cancel a transaction?,
234,are there any exchange fees,
235,Do you know the process how to activate my card?,
236,Can I change my PIN at any ATM?,
237,How young can I be to open my own account?,
238,How old do you need to be to use the banks services?,
239,What is the meaning of a pending payment?,
240,I am waiting for a payment to go through.,
241,"I am having issues using contactless payments, could my card be damaged?",
242,Why would my payment for my card show as pending?,
243,There are transactions that I don't recognize. What do I do if I think someone is using my card?,
244,Help me with my contactless which isn't working.,
245,Can my children have an account?,
246,A mortgage payment I'm making is giving me an error message.  This is the first time I'm making this payment and want to know what's wrong.,
247,What is the charge for exchanging currency?,
248,Please help me.  I don't know my code to get into the app.,
249,Are there extra charges for exchanging currency?,
250,Why is my withdrawal from the ATM still showing as pending?,
251,Can I change my PIN at any cash machines?,
252,My password doesn't work.,
253,How old do I have to be?,
254,Are there any ATM's near me that accept this card?,
255,My cash withdrawal is still showing as pending.,
256,Can my PIN be changed in any cash machine?,
257,I would like to get an account for my child.,
258,What cash machines will let me change my PIN?,
259,How do I change my passcode?,
260,I made a mistake with a transaction!,
261,Where can I find an ATM?,
262,Is there any age limit?,
263,What is the charge for exchanging currencies?,
264,I need a new Pin how do I go about that?,
265,card is being used by someone else,
266,How old do you have to be to get an account?,
267,I have foreign currency i would like to change how much will it cost me?,
268,Do you offer a discount for those who perform frequent currency exchanges?,
269,"My card's expiring, what happens now?",
270,Why won't you let me name X as a beneficiary?,
271,does it cost to exchange currencies?,
272,How do I active this card?,
273,How do I make contactless work,
274,What is the reason I couldn't do a transfer to a beneficiary?,
275,I made a deposit in the ATM and it has not cleared,
276,I think someone has access to my card numbers that shouldn't.,
277,How old do my kids have to be to use your service?,
278,"Errors keep showing up every time I try to make this transfer and I am on a time crunch,  could you please help.",
279,I pulled cash from the ATM earlier. Why is it still pending if I already have the cash?,
280,What does it mean when a cash withdrawal is pending?,
281,Your ATM pin can be changed at any VISA or MasterCard ATM with PIN services. Certain countries don't support ATM pin changes.,
282,How can I find the nearest ATM?,
